"filename", "language", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\dodiz\Desktop\currentApps\royal\src\App.js", "JavaScript", 34, 0, 0, 0, 6, 40
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\admin\index.js", "JavaScript", 31, 0, 0, 0, 4, 35
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\admin\styles\admin.js", "JavaScript", 37, 0, 0, 0, 2, 39
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\aside\index.js", "JavaScript", 19, 0, 0, 0, 1, 20
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\aside\styles\aside.js", "JavaScript", 61, 0, 0, 1, 4, 66
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\content\index.js", "JavaScript", 65, 0, 0, 0, 6, 71
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\content\styles\content.js", "JavaScript", 113, 0, 0, 0, 6, 119
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\footer\index.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\footer\styles\footer.js", "JavaScript", 3, 0, 0, 0, 1, 4
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\form\index.js", "JavaScript", 127, 0, 0, 0, 13, 140
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\form\styles\form.js", "JavaScript", 267, 0, 0, 0, 19, 286
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\header\index.js", "JavaScript", 23, 0, 0, 0, 1, 24
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\header\styles\header.js", "JavaScript", 29, 0, 0, 0, 5, 34
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\index.js", "JavaScript", 10, 0, 0, 0, 0, 10
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\page\index.js", "JavaScript", 81, 0, 0, 0, 6, 87
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\page\styles\page.js", "JavaScript", 159, 0, 0, 0, 12, 171
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\pg\index.js", "JavaScript", 37, 0, 0, 0, 1, 38
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\pg\styles\pg.js", "JavaScript", 38, 0, 0, 0, 4, 42
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\slider\index.js", "JavaScript", 32, 0, 0, 0, 1, 33
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\slider\styles\slider.js", "JavaScript", 68, 0, 0, 0, 7, 75
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\splash\index.js", "JavaScript", 74, 0, 0, 0, 3, 77
"c:\Users\dodiz\Desktop\currentApps\royal\src\components\splash\styles\splash.js", "JavaScript", 195, 0, 0, 0, 13, 208
"c:\Users\dodiz\Desktop\currentApps\royal\src\constants\collections.js", "JavaScript", 3, 0, 0, 0, 0, 3
"c:\Users\dodiz\Desktop\currentApps\royal\src\constants\images.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\dodiz\Desktop\currentApps\royal\src\constants\index.js", "JavaScript", 6, 0, 0, 0, 1, 7
"c:\Users\dodiz\Desktop\currentApps\royal\src\constants\misc.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\dodiz\Desktop\currentApps\royal\src\constants\routes.js", "JavaScript", 10, 0, 0, 2, 3, 15
"c:\Users\dodiz\Desktop\currentApps\royal\src\constants\settings.js", "JavaScript", 5, 0, 0, 0, 1, 6
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers-popup\ambientazione.js", "JavaScript", 48, 0, 0, 1, 4, 53
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers-popup\index.js", "JavaScript", 3, 0, 0, 0, 0, 3
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers-popup\rules.js", "JavaScript", 37, 0, 0, 1, 4, 42
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers-popup\sign.js", "JavaScript", 150, 0, 0, 4, 8, 162
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\aside.js", "JavaScript", 42, 0, 0, 0, 6, 48
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\footer.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\header.js", "JavaScript", 19, 0, 0, 0, 3, 22
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\index.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\loading.js", "JavaScript", 13, 0, 0, 0, 2, 15
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\news.js", "JavaScript", 8, 0, 0, 0, 3, 11
"c:\Users\dodiz\Desktop\currentApps\royal\src\containers\pgslider.js", "JavaScript", 72, 0, 0, 0, 9, 81
"c:\Users\dodiz\Desktop\currentApps\royal\src\context\firebase.js", "JavaScript", 2, 0, 0, 0, 1, 3
"c:\Users\dodiz\Desktop\currentApps\royal\src\context\index.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\dodiz\Desktop\currentApps\royal\src\context\pg.js", "JavaScript", 2, 0, 0, 0, 1, 3
"c:\Users\dodiz\Desktop\currentApps\royal\src\context\settings.js", "JavaScript", 2, 0, 0, 0, 1, 3
"c:\Users\dodiz\Desktop\currentApps\royal\src\context\user.js", "JavaScript", 2, 0, 0, 0, 1, 3
"c:\Users\dodiz\Desktop\currentApps\royal\src\data\ambientazione.json", "JSON", 0, 0, 32, 0, 0, 32
"c:\Users\dodiz\Desktop\currentApps\royal\src\data\faqs.json", "JSON", 0, 0, 14, 0, 0, 14
"c:\Users\dodiz\Desktop\currentApps\royal\src\data\index.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\dodiz\Desktop\currentApps\royal\src\data\pginfo.json", "JSON", 0, 0, 62, 0, 0, 62
"c:\Users\dodiz\Desktop\currentApps\royal\src\data\rules.json", "JSON", 0, 0, 22, 0, 0, 22
"c:\Users\dodiz\Desktop\currentApps\royal\src\globalstyles.js", "JavaScript", 182, 0, 0, 4, 17, 203
"c:\Users\dodiz\Desktop\currentApps\royal\src\hooks\index.js", "JavaScript", 5, 0, 0, 0, 0, 5
"c:\Users\dodiz\Desktop\currentApps\royal\src\hooks\use-auth.js", "JavaScript", 33, 0, 0, 0, 6, 39
"c:\Users\dodiz\Desktop\currentApps\royal\src\hooks\use-firestore-admin.js", "JavaScript", 7, 0, 0, 0, 3, 10
"c:\Users\dodiz\Desktop\currentApps\royal\src\hooks\use-firestore.js", "JavaScript", 38, 0, 0, 0, 3, 41
"c:\Users\dodiz\Desktop\currentApps\royal\src\hooks\use-pg.js", "JavaScript", 20, 0, 0, 0, 5, 25
"c:\Users\dodiz\Desktop\currentApps\royal\src\hooks\use-settings.js", "JavaScript", 16, 0, 0, 0, 6, 22
"c:\Users\dodiz\Desktop\currentApps\royal\src\index.js", "JavaScript", 25, 0, 0, 1, 3, 29
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages-admin\approvepg.js", "JavaScript", 79, 0, 0, 0, 8, 87
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages-admin\home.js", "JavaScript", 46, 0, 0, 0, 6, 52
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages-admin\index.js", "JavaScript", 2, 0, 0, 0, 0, 2
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages-admin\shop.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages-admin\skills.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\account.js", "JavaScript", 14, 0, 0, 0, 3, 17
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\admin.js", "JavaScript", 25, 0, 0, 0, 5, 30
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\createpg.js", "JavaScript", 158, 0, 0, 0, 9, 167
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\dash.js", "JavaScript", 47, 0, 0, 0, 6, 53
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\home.js", "JavaScript", 24, 0, 0, 0, 4, 28
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\index.js", "JavaScript", 8, 0, 0, 0, 0, 8
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\map.js", "JavaScript", 13, 0, 0, 0, 2, 15
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\pginfo.js", "JavaScript", 33, 0, 0, 0, 4, 37
"c:\Users\dodiz\Desktop\currentApps\royal\src\pages\settings.js", "JavaScript", 53, 0, 0, 0, 5, 58
"c:\Users\dodiz\Desktop\currentApps\royal\src\svg\close.svg", "XML", 0, 16, 0, 0, 2, 18
